label	C1	C2	H2	intensity
X1	10.414	13.777	0.818	1.6801e-03
X1b	13.777	10.414	0.861	1.6801e-03
X2	25.208	13.777	0.818	1.8314e-03
X2b	13.777	25.208	0.772	1.8314e-03
X3	23.240	13.777	0.818	3.8492e-03
X3b	13.777	23.240	0.642	3.8492e-03
X4	17.923	13.777	0.818	5.6294e-03
X4b	13.777	17.923	0.098	5.6294e-03
X5	22.232	13.777	0.818	1.1177e-01
X5b	13.777	22.232	0.828	2.2349e-03
X6	22.229	13.777	0.818	1.1177e-01
X6b	13.777	22.229	0.691	1.1177e-01
X7	26.597	13.777	0.818	8.5454e-02
X7b	13.777	26.597	0.713	8.5454e-02
X8	22.230	13.777	0.818	1.1177e-01
X8b	13.777	22.230	0.617	5.9398e-03
X9	24.716	13.777	0.818	1.5660e-02
X9b	13.777	24.716	-0.036	1.5660e-02
X10	25.193	10.414	0.861	2.8686e-02
X10b	10.414	25.193	0.627	2.8686e-02
X11	22.843	10.414	0.861	2.6122e-03
X11b	10.414	22.843	0.661	2.6122e-03
X12	13.666	10.414	0.861	9.1015e-03
X12b	10.414	13.666	0.483	9.1015e-03
X13	25.208	10.414	0.861	2.8686e-02
X13b	10.414	25.208	0.772	6.3205e-03
X14	23.240	10.414	0.861	4.2744e-03
X14b	10.414	23.240	0.642	4.2744e-03
X15	24.716	10.414	0.861	1.0681e-03
X15b	10.414	24.716	-0.036	1.0681e-03
X16	20.746	10.414	0.861	2.0020e-03
X16b	10.414	20.746	0.554	2.0020e-03
X17	19.054	10.414	0.861	1.1439e-03
X17b	10.414	19.054	1.438	1.1439e-03
X18	22.843	25.193	0.627	9.7473e-01
X18b	25.193	22.843	0.661	9.7473e-01
X19	26.731	25.193	0.627	2.9849e-03
X19b	25.193	26.731	0.588	2.9849e-03
X20	20.746	25.193	0.627	4.7780e-02
X20b	25.193	20.746	0.554	4.7780e-02
X21	19.054	25.193	0.627	1.6393e-02
X21b	25.193	19.054	1.438	1.6393e-02
X22	26.731	22.843	0.661	1.6987e-03
X22b	22.843	26.731	0.588	1.6987e-03
X23	20.746	22.843	0.661	1.7591e-02
X23b	22.843	20.746	0.554	1.7591e-02
X24	19.054	22.843	0.661	8.7640e-02
X24b	22.843	19.054	1.438	8.7640e-02
X25	23.240	13.666	0.483	2.9192e-03
X25b	13.666	23.240	0.642	2.9192e-03
X26	14.032	13.666	0.483	2.8660e-03
X26b	13.666	14.032	0.107	2.8660e-03
X27	23.240	25.208	0.772	9.7664e-01
X27b	25.208	23.240	0.642	9.7664e-01
X28	17.923	25.208	0.772	5.5758e-03
X28b	25.208	17.923	0.098	5.5758e-03
X29	17.923	23.240	0.642	7.5035e-02
X29b	23.240	17.923	0.098	7.5035e-02
X30	22.232	23.240	0.642	3.8587e-03
X30b	23.240	22.232	0.828	3.8587e-03
X31	22.229	23.240	0.642	3.8587e-03
X31b	23.240	22.229	0.691	1.5909e-03
X32	26.597	23.240	0.642	1.9176e-03
X32b	23.240	26.597	0.713	1.9176e-03
X33	22.232	17.923	0.098	9.5682e-01
X33b	17.923	22.232	0.828	9.5682e-01
X34	22.229	17.923	0.098	9.5682e-01
X34b	17.923	22.229	0.691	1.1667e-02
X35	26.597	17.923	0.098	2.9917e-02
X35b	17.923	26.597	0.713	2.9917e-02
X36	23.707	17.923	0.098	2.8187e-03
X36b	17.923	23.707	0.752	2.8187e-03
X37	26.072	17.923	0.098	4.4916e-03
X37b	17.923	26.072	0.861	4.4916e-03
X38	14.032	17.923	0.098	1.2411e-03
X38b	17.923	14.032	0.107	1.2411e-03
X39	22.229	22.232	0.828	9.4706e-03
X39b	22.232	22.229	0.691	9.4706e-03
X40	26.597	22.232	0.828	5.6309e-02
X40b	22.232	26.597	0.713	9.9845e-01
X41	23.707	22.232	0.828	1.0140e-02
X41b	22.232	23.707	0.752	1.0140e-02
X42	26.072	22.232	0.828	4.8233e-02
X42b	22.232	26.072	0.861	4.8233e-02
X43	14.032	22.232	0.828	1.7108e-03
X43b	22.232	14.032	0.107	1.7108e-03
X44	26.597	22.229	0.691	9.9845e-01
X44b	22.229	26.597	0.713	9.9845e-01
X45	26.072	22.229	0.691	1.8126e-03
X45b	22.229	26.072	0.861	4.8233e-02
X46	23.707	26.597	0.713	6.1841e-03
X46b	26.597	23.707	0.752	6.1841e-03
X47	26.072	26.597	0.713	1.9449e-02
X47b	26.597	26.072	0.861	1.9449e-02
X48	26.072	23.707	0.752	9.6721e-01
X48b	23.707	26.072	0.861	9.6721e-01
X49	14.032	23.707	0.752	3.4888e-02
X49b	23.707	14.032	0.107	3.4888e-02
X50	27.141	23.707	0.752	7.0136e-02
X50b	23.707	27.141	0.512	7.0136e-02
X51	23.481	23.707	0.752	5.0821e-03
X51b	23.707	23.481	0.607	5.0821e-03
X52	27.144	23.707	0.752	7.0136e-02
X52b	23.707	27.144	0.828	1.2144e-03
X53	14.032	26.072	0.861	3.8832e-03
X53b	26.072	14.032	0.107	3.8832e-03
X54	27.141	26.072	0.861	6.3031e-03
X54b	26.072	27.141	0.512	6.3031e-03
X55	25.201	23.084	0.608	9.9295e-01
X55b	23.084	25.201	0.534	9.9295e-01
X56	22.230	23.084	0.608	3.8552e-03
X56b	23.084	22.230	0.617	3.8552e-03
X57	22.481	23.084	0.608	5.1610e-02
X57b	23.084	22.481	0.727	5.1610e-02
X58	20.739	23.084	0.608	4.0364e-02
X58b	23.084	20.739	0.482	4.0364e-02
X59	10.642	23.084	0.608	1.9791e-02
X59b	23.084	10.642	0.742	1.9791e-02
X60	22.371	23.084	0.608	3.1624e-03
X60b	23.084	22.371	0.435	3.1624e-03
X61	17.467	23.084	0.608	3.0528e-03
X61b	23.084	17.467	0.100	3.0528e-03
X62	24.389	23.084	0.608	1.2606e-02
X62b	23.084	24.389	0.789	1.2606e-02
X63	27.144	23.084	0.608	6.8061e-03
X63b	23.084	27.144	0.828	6.8061e-03
X64	22.230	25.201	0.534	5.2874e-02
X64b	25.201	22.230	0.617	5.2874e-02
X65	24.716	25.201	0.534	3.5619e-03
X65b	25.201	24.716	-0.036	3.5619e-03
X66	22.481	25.201	0.534	3.9390e-03
X66b	25.201	22.481	0.727	3.9390e-03
X67	20.739	25.201	0.534	2.5339e-03
X67b	25.201	20.739	0.482	2.5339e-03
X68	10.642	25.201	0.534	4.3141e-02
X68b	25.201	10.642	0.742	4.3141e-02
X69	22.371	25.201	0.534	5.8236e-03
X69b	25.201	22.371	0.435	5.8236e-03
X70	17.467	25.201	0.534	2.3286e-03
X70b	25.201	17.467	0.100	2.3286e-03
X71	24.389	25.201	0.534	1.9649e-03
X71b	25.201	24.389	0.789	1.9649e-03
X72	27.144	25.201	0.534	2.2179e-03
X72b	25.201	27.144	0.828	2.2179e-03
X73	24.716	22.230	0.617	9.9876e-01
X73b	22.230	24.716	-0.036	9.9876e-01
X74	10.642	22.230	0.617	1.3416e-02
X74b	22.230	10.642	0.742	1.3416e-02
X75	10.642	24.716	-0.036	1.4242e-03
X75b	24.716	10.642	0.742	1.4242e-03
X76	21.055	20.813	0.685	9.8850e-01
X76b	20.813	21.055	0.614	9.8850e-01
X77	17.404	21.055	0.614	1.4805e-03
X77b	21.055	17.404	0.822	1.4805e-03
X78	20.952	21.055	0.614	2.3797e-03
X78b	21.055	20.952	1.065	2.3797e-03
X79	22.640	21.055	0.614	3.1814e-03
X79b	21.055	22.640	0.880	3.1814e-03
X80	20.926	26.228	0.196	9.8701e-01
X80b	26.228	20.926	-0.074	9.8701e-01
X81	27.141	26.228	0.196	8.7617e-02
X81b	26.228	27.141	0.512	1.6358e-03
X82	23.481	26.228	0.196	8.9845e-03
X82b	26.228	23.481	0.607	8.9845e-03
X83	24.389	26.228	0.196	8.8735e-03
X83b	26.228	24.389	0.789	8.8735e-03
X84	27.144	26.228	0.196	8.7617e-02
X84b	26.228	27.144	0.828	8.7617e-02
X85	23.481	20.926	-0.074	5.2910e-03
X85b	20.926	23.481	0.607	5.2910e-03
X86	24.389	20.926	-0.074	5.5223e-03
X86b	20.926	24.389	0.789	5.5223e-03
X87	27.144	20.926	-0.074	1.5934e-02
X87b	20.926	27.144	0.828	1.5934e-02
X88	17.404	20.926	-0.074	1.8807e-03
X88b	20.926	17.404	0.822	1.8807e-03
X89	27.141	14.032	0.107	7.8176e-03
X89b	14.032	27.141	0.512	7.8176e-03
X90	23.481	14.032	0.107	3.3741e-03
X90b	14.032	23.481	0.607	3.3741e-03
X91	23.481	27.141	0.512	9.5807e-01
X91b	27.141	23.481	0.607	9.5807e-01
X92	24.389	27.141	0.512	2.8926e-03
X92b	27.141	24.389	0.789	9.7810e-01
X93	27.144	27.141	0.512	1.4210e-02
X93b	27.141	27.144	0.828	1.4210e-02
X94	24.389	23.481	0.607	7.7448e-03
X94b	23.481	24.389	0.789	7.7448e-03
X95	27.144	23.481	0.607	9.5807e-01
X95b	23.481	27.144	0.828	5.8051e-02
X96	20.739	22.481	0.727	9.8807e-01
X96b	22.481	20.739	0.482	9.8807e-01
X97	10.642	22.481	0.727	2.3729e-03
X97b	22.481	10.642	0.742	2.3729e-03
X98	17.467	22.481	0.727	2.0402e-03
X98b	22.481	17.467	0.100	2.0402e-03
X99	24.389	22.481	0.727	5.4175e-03
X99b	22.481	24.389	0.789	5.4175e-03
X100	27.144	22.481	0.727	1.0397e-03
X100b	22.481	27.144	0.828	1.0397e-03
X101	10.642	20.739	0.482	1.0915e-03
X101b	20.739	10.642	0.742	1.0915e-03
X102	24.389	20.739	0.482	4.8956e-02
X102b	20.739	24.389	0.789	4.8956e-02
X103	27.144	20.739	0.482	4.6428e-03
X103b	20.739	27.144	0.828	4.6428e-03
X104	17.404	20.739	0.482	1.0177e-03
X104b	20.739	17.404	0.822	1.0177e-03
X105	20.204	15.439	0.541	3.1589e-03
X105b	15.439	20.204	0.634	3.1589e-03
X106	22.371	15.439	0.541	5.8264e-02
X106b	15.439	22.371	0.435	5.8264e-02
X107	17.467	15.439	0.541	9.5426e-03
X107b	15.439	17.467	0.100	9.5426e-03
X108	14.375	15.439	0.541	1.2190e-03
X108b	15.439	14.375	0.683	1.2190e-03
X109	22.576	15.439	0.541	3.3504e-02
X109b	15.439	22.576	0.071	3.3504e-02
X110	25.338	15.439	0.541	9.8388e-02
X110b	15.439	25.338	-0.530	9.8388e-02
X111	20.204	21.995	0.844	9.8528e-01
X111b	21.995	20.204	0.634	9.8528e-01
X112	25.119	21.995	0.844	1.0460e-02
X112b	21.995	25.119	0.687	1.0460e-02
X113	23.167	21.995	0.844	4.1290e-02
X113b	21.995	23.167	0.726	4.1290e-02
X114	18.691	21.995	0.844	1.6400e-02
X114b	21.995	18.691	0.670	1.6400e-02
X115	22.557	21.995	0.844	1.5942e-03
X115b	21.995	22.557	0.856	1.5942e-03
X116	25.119	20.204	0.634	4.8146e-03
X116b	20.204	25.119	0.687	4.8146e-03
X117	23.167	20.204	0.634	4.4166e-02
X117b	20.204	23.167	0.726	4.4166e-02
X118	18.691	20.204	0.634	3.9055e-02
X118b	20.204	18.691	0.670	3.9055e-02
X119	22.557	20.204	0.634	2.4753e-03
X119b	20.204	22.557	0.856	2.4753e-03
X120	23.167	25.119	0.687	9.8342e-01
X120b	25.119	23.167	0.726	9.8342e-01
X121	17.467	22.371	0.435	9.6045e-01
X121b	22.371	17.467	0.100	9.6045e-01
X122	17.404	22.371	0.435	1.4660e-03
X122b	22.371	17.404	0.822	1.4660e-03
X123	26.731	22.371	0.435	1.1996e-03
X123b	22.371	26.731	0.588	1.1996e-03
X124	14.375	22.371	0.435	1.0892e-03
X124b	22.371	14.375	0.683	1.0892e-03
X125	22.576	22.371	0.435	1.7817e-02
X125b	22.371	22.576	0.071	1.7817e-02
X126	25.338	22.371	0.435	4.2588e-02
X126b	22.371	25.338	-0.530	4.2588e-02
X127	24.389	17.467	0.100	1.3095e-03
X127b	17.467	24.389	0.789	1.3095e-03
X128	17.404	17.467	0.100	1.5287e-02
X128b	17.467	17.404	0.822	1.5287e-02
X129	22.576	17.467	0.100	2.4134e-03
X129b	17.467	22.576	0.071	2.4134e-03
X130	25.338	17.467	0.100	1.0329e-02
X130b	17.467	25.338	-0.530	1.0329e-02
X131	27.144	24.389	0.789	9.7810e-01
X131b	24.389	27.144	0.828	9.7810e-01
X132	17.404	24.389	0.789	3.7418e-03
X132b	24.389	17.404	0.822	3.7418e-03
X133	17.404	27.144	0.828	9.9031e-04
X133b	27.144	17.404	0.822	9.9031e-04
X134	22.557	18.691	0.670	9.7050e-01
X134b	18.691	22.557	0.856	9.7050e-01
X135	18.733	18.691	0.670	3.5292e-03
X135b	18.691	18.733	1.324	3.5292e-03
X136	22.489	18.691	0.670	1.0450e-03
X136b	18.691	22.489	0.466	1.0450e-03
X137	23.085	22.557	0.856	3.0229e-03
X137b	22.557	23.085	1.260	3.0229e-03
X138	18.733	22.557	0.856	9.7050e-01
X138b	22.557	18.733	1.324	5.4050e-02
X139	22.489	22.557	0.856	1.5062e-03
X139b	22.557	22.489	0.466	1.5062e-03
X140	22.640	20.952	1.065	9.7027e-01
X140b	20.952	22.640	0.880	9.7027e-01
X141	22.412	20.952	1.065	1.9679e-03
X141b	20.952	22.412	0.885	1.9679e-03
X142	23.085	20.952	1.065	8.1743e-03
X142b	20.952	23.085	1.260	8.1743e-03
X143	25.338	20.952	1.065	2.3820e-03
X143b	20.952	25.338	-0.530	2.3820e-03
X144	23.085	22.640	0.880	3.0158e-03
X144b	22.640	23.085	1.260	3.0158e-03
X145	23.085	22.412	0.885	1.0000e+00
X145b	22.412	23.085	1.260	1.0000e+00
X146	21.298	22.412	0.885	4.4722e-02
X146b	22.412	21.298	0.704	4.4722e-02
X147	18.733	22.412	0.885	7.5167e-03
X147b	22.412	18.733	1.324	7.5167e-03
X148	25.338	23.085	1.260	1.6324e-03
X148b	23.085	25.338	-0.530	1.6324e-03
X149	21.298	23.085	1.260	1.4117e-02
X149b	23.085	21.298	0.704	1.4117e-02
X150	18.733	23.085	1.260	5.3815e-02
X150b	23.085	18.733	1.324	5.3815e-02
X151	20.746	26.731	0.588	9.9816e-01
X151b	26.731	20.746	0.554	9.9816e-01
X152	19.054	26.731	0.588	1.2040e-03
X152b	26.731	19.054	1.438	1.2040e-03
X153	14.375	26.731	0.588	1.1380e-02
X153b	26.731	14.375	0.683	1.1380e-02
X154	22.576	26.731	0.588	2.4539e-03
X154b	26.731	22.576	0.071	2.4539e-03
X155	19.054	20.746	0.554	7.5917e-03
X155b	20.746	19.054	1.438	7.5917e-03
X156	14.375	20.746	0.554	2.6237e-03
X156b	20.746	14.375	0.683	2.6237e-03
X157	24.794	22.546	0.462	9.7969e-01
X157b	22.546	24.794	0.035	9.7969e-01
X158	14.375	22.546	0.462	1.5136e-02
X158b	22.546	14.375	0.683	3.8730e-02
X159	21.561	22.546	0.462	3.0947e-03
X159b	22.546	21.561	1.221	3.0947e-03
X160	14.375	24.794	0.035	7.7965e-03
X160b	24.794	14.375	0.683	7.7965e-03
X161	21.561	14.375	0.683	1.1132e-03
X161b	14.375	21.561	1.221	1.1132e-03
X162	22.576	14.375	0.683	3.8730e-02
X162b	14.375	22.576	0.071	3.8730e-02
X163	25.338	14.375	0.683	2.4751e-03
X163b	14.375	25.338	-0.530	2.4751e-03
X164	21.298	14.375	0.683	1.2434e-03
X164b	14.375	21.298	0.704	1.2434e-03
X165	25.338	22.576	0.071	9.8813e-01
X165b	22.576	25.338	-0.530	9.8813e-01
X166	21.298	22.576	0.071	4.2394e-03
X166b	22.576	21.298	0.704	4.2394e-03
X167	21.298	25.338	-0.530	2.4498e-03
X167b	25.338	21.298	0.704	2.4498e-03
X168	18.733	21.298	0.704	1.0299e-03
X168b	21.298	18.733	1.324	1.0299e-03
X169	22.489	25.303	0.327	9.6520e-01
X169b	25.303	22.489	0.466	9.6520e-01
